userId,movieId,tag,timestamp,recordId
2,60756,funny,2015-10-24 10:29:54,0
2,60756,Highly quotable,2015-10-24 10:29:56,1
2,60756,will ferrell,2015-10-24 10:29:52,2
2,89774,Boxing story,2015-10-24 10:33:27,3
2,89774,MMA,2015-10-24 10:33:20,4
2,89774,Tom Hardy,2015-10-24 10:33:25,5
2,106782,drugs,2015-10-24 10:30:54,6
2,106782,Leonardo DiCaprio,2015-10-24 10:30:51,7
2,106782,Martin Scorsese,2015-10-24 10:30:56,8
7,48516,way too long,2007-01-25 04:08:45,9
18,431,Al Pacino,2016-05-02 12:39:25,10
18,431,gangster,2016-05-02 12:39:09,11
18,431,mafia,2016-05-02 12:39:15,12
18,1221,Al Pacino,2016-04-26 10:35:06,13
18,1221,Mafia,2016-04-26 10:35:03,14
18,5995,holocaust,2016-02-17 09:57:52,15
18,5995,true story,2016-02-17 09:57:59,16
18,44665,twist ending,2016-03-02 10:51:23,17
18,52604,Anthony Hopkins,2016-03-11 01:58:16,18
18,52604,courtroom drama,2016-03-11 01:58:31,19
18,52604,twist ending,2016-03-11 01:58:02,20
18,88094,britpop,2016-03-08 04:41:40,21
18,88094,indie record label,2016-03-08 04:43:12,22
18,88094,music,2016-03-08 04:43:29,23
18,144210,dumpster diving,2016-02-10 02:26:21,24
18,144210,Sustainability,2016-02-10 02:27:32,25
21,1569,romantic comedy,2014-12-29 01:23:33,26
21,1569,wedding,2014-12-29 01:23:39,27
21,118985,painter,2014-12-29 01:24:37,28
21,119141,bloody,2014-12-28 10:12:42,29
49,109487,black hole,2017-04-25 07:08:26,30
49,109487,sci-fi,2017-04-25 07:08:52,31
49,109487,time-travel,2017-04-25 07:09:16,32
62,2,fantasy,2018-06-13 01:52:09,33
62,2,magic board game,2018-06-13 01:52:12,34
62,2,Robin Williams,2018-06-13 01:51:47,35
62,110,beautiful scenery,2018-06-05 01:49:01,36
62,110,epic,2018-06-05 01:48:52,37
62,110,historical,2018-06-05 01:48:43,38
62,110,inspirational,2018-06-05 01:48:47,39
62,110,Medieval,2018-06-05 01:48:48,40
62,110,mel gibson,2018-06-05 01:48:41,41
62,110,Oscar (Best Cinematography),2018-06-05 01:48:59,42
62,110,revenge,2018-06-05 01:48:51,43
62,110,sword fight,2018-06-05 01:48:55,44
62,410,black comedy,2018-05-06 10:56:47,45
62,410,Christina Ricci,2018-05-06 10:58:05,46
62,410,Christopher Lloyd,2018-05-06 10:57:02,47
62,410,dark comedy,2018-05-06 10:56:50,48
62,410,family,2018-05-06 10:58:28,49
62,410,gothic,2018-05-06 10:56:49,50
62,2023,Al Pacino,2018-05-06 10:58:48,51
62,2023,Andy Garcia,2018-05-06 10:59:28,52
62,2023,Classic,2018-05-06 10:59:12,53
62,2023,Francis Ford Coppola,2018-05-06 10:59:12,54
62,2023,mafia,2018-05-06 10:58:53,55
62,2124,black comedy,2018-05-06 11:00:47,56
62,2124,Christina Ricci,2018-05-06 11:01:07,57
62,2124,Christopher Lloyd,2018-05-06 11:00:59,58
62,2124,Family,2018-05-06 11:00:55,59
62,2124,gothic,2018-05-06 11:00:49,60
62,2124,quirky,2018-05-06 11:00:46,61
62,2953,family,2018-05-06 11:01:23,62
62,2953,funny,2018-05-06 11:01:25,63
62,2953,Macaulay Culkin,2018-05-06 11:01:30,64
62,2953,sequel,2018-05-06 11:01:27,65
62,3114,animation,2018-05-06 11:01:43,66
62,3114,Disney,2018-05-06 11:01:42,67
62,3114,funny,2018-05-06 11:01:53,68
62,3114,original,2018-05-06 11:01:57,69
62,3114,Pixar,2018-05-06 11:01:41,70
62,3114,sequel,2018-05-06 11:01:50,71
62,3114,Tom Hanks,2018-05-06 11:02:05,72
62,3578,ancient Rome,2018-06-05 01:48:24,73
62,3578,Epic,2018-06-05 01:47:49,74
